Name,Country,Region,DOB,Industry,IndustryType,Company,SelfMade,Type,Gender,Generation,CompanyAcquired
Pang Kang,China,East Asia,1956,Consumer,Traded Sectors,Foshan Haitian Flavoring and Food,self-made,executive,male,Unknown,new
Pang Qinghua,China,East Asia,1956,"Retail, Restaurant",Non-Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Pankaj Patel,India,South Asia,1953,Technology-Medical,New Sectors,Cadila Healthcare,inherited,inherited,male,inherited from father,new
Pansy Ho,Hong Kong,East Asia,1963,"Retail, Restaurant",Non-Traded Sectors,Sociedade de Turismo e Divers?es de Macau,inherited,inherited,female,inherited from father,new
Paolo & Gianfelice Mario Rocca,Italy,Europe,Unknown,Non-consumer industrial,Traded Sectors,Techint,inherited,inherited,male,Third generation,new
Paolo and Gianfelice Mario Rocca,Italy,Europe,Unknown,Non-consumer industrial,Traded Sectors,Unknown,Unknown,Unknown,married couple,Unknown,Unknown
Paolo Bulgari,Italy,Europe,1938,Consumer,Traded Sectors,Bulgari,inherited,inherited,male,Fifth generation or longer,new
Park Hyeon-Joo,South Korea,East Asia,1959,Money Management,Financial,Mirae Asset,self-made,self-made finance,male,Unknown,new
Pat Stryker,United States,North America,1957,Technology-Medical,New Sectors,Stryker Corporation,inherited,inherited,female,Third generation,new
Patokh Chodiev,Belgium,Europe,1953,Mining and metals,Resource Related,Eurasion natural Resources Corporation,self-made,privatized and resources,male,Unknown,new
Patrice Motsepe,South Africa,Sub-Saharan Africa,1962,Mining and metals,Resource Related,African Rainbow Minerals,self-made,privatized and resources,male,Unknown,new
Patricia Angelini Rossi,Chile,Latin America,1955,Mining and metals,Resource Related,Angelini Group,inherited,inherited,female,inherited from father,new
Patricia Matte,Chile,Latin America,1944,Consumer,Traded Sectors,CMPC,inherited,inherited,female,inherited from father,new
Patricia Short,United States,North America,Unknown,Other,other,Unknown,Unknown,Unknown,female,Unknown,Unknown
Patrick Bowlen,United States,North America,1944,Other,other,Unknown,Unknown,Unknown,male,Unknown,Unknown
Patrick Drahi,France,Europe,1964,Media,Non-Traded Sectors,Altice,self-made,founder non-finance,male,Unknown,new
Patrick Guerrand,France,Europe,Unknown,Other,other,Hermes,inherited,inherited,male,Fifth generation or longer,new
Patrick Lee,Hong Kong,East Asia,1942,Non-consumer industrial,Traded Sectors,Lee & Man Paper Manufacturing,self-made,founder non-finance,male,Unknown,new
Patrick McGovern,United States,North America,1938,Technology-Computer,New Sectors,International Data Goup,self-made,founder non-finance,male,Unknown,new
Patrick Ryan,United States,North America,1938,Hedge funds,Financial,Aon Corporation,self-made,self-made finance,male,Unknown,new
Patrick Soon-Shiong,United States,North America,1952,Technology-Medical,New Sectors,American Pharmaceutical Partners ,self-made,founder non-finance,male,Unknown,new
Patrick Wang,Hong Kong,East Asia,1951,Consumer,Traded Sectors,Johnson Electric,inherited,inherited,male,inherited from father,new
Patrizio Bertelli,Italy,Europe,1946,Consumer,Traded Sectors,Prada,inherited,inherited,male,inherited from father,new
Paul Allen,United States,North America,1953,Technology-Computer,New Sectors,Microsoft,self-made,founder non-finance,male,Unknown,new
Paul Desmarais,Canada,North America,1927,Money Management,Financial,Unknown,Unknown,Unknown,male,Unknown,Unknown
Paul Fireman,United States,North America,1944,"Retail, Restaurant",Non-Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
